subID,avg_roi_E_magn,avg_roi_E_normal,avg_roi_E_tangent,subID2,p95,p99,p99_9,pk_pos_x,pk_pos_y,pk_pos_z
116,0.104371644096081,0.0371547263386911,0.0828285237379209,116,0.143623313369988,0.188494109953508,0.238894906766103,15.9472566319355,16.8953319604255,-14.9566445568555
119,0.137174208827332,0.00165946305878729,0.107615814202891,119,0.157436941112198,0.197698837292366,0.258634813716025,14.267121007402,30.8198933223695,-14.5759380551789
125,0.167254784658316,0.116330628966147,0.0774047713866531,125,0.121953663386939,0.155073661949971,0.219136320210131,-21.9736935428333,-34.6774821965462,18.6324491438566
130,0.111306505897043,0.0211089329121775,0.09568375599549,130,0.137297165878677,0.16943420057662,0.21462358892446,-12.4827732527969,18.8885338887581,-18.679753573506
134,0.104871514866064,0.0024644888925937,0.0842909017446219,134,0.135984528878793,0.175300919783004,0.223569421644593,-15.4417817064374,15.984696326327,-4.24768651634765
138,0.142359212970028,0.0100095305854631,0.108985318600466,138,0.147149718405595,0.187528919890506,0.258539039935542,-68.850806863502,35.4310380618526,-15.1797327072677
142,0.0755482737490391,0.000870786204883383,0.0540419373127824,142,0.118274128619639,0.154030169658225,0.196090246935473,27.5481316562272,32.4468807964265,9.07493926712202
168,0.129830281595494,0.0316207831090244,0.10889663894515,168,0.151327385992392,0.183617578393873,0.230723924016291,-59.0590188261084,-12.1375973620859,3.5593310634215
170,0.102743258696162,0.0122960149413554,0.0769236273688831,170,0.156000994228702,0.212011119178101,0.288196633506175,4.38143855642228,45.3865524018516,-1.66542460741091
171,0.122919186804621,0.0171571595735536,0.0969800055409584,171,0.157473773219278,0.201365124643035,0.261629264131572,19.7949824692917,25.2571944008267,7.74894025472348
173,0.106793906013053,0.033970342457901,0.0782771631778712,173,0.126113982058201,0.16710105824564,0.244225447227318,15.9921600613128,63.1208172756202,-13.1992957388301
175,0.110938801670761,0.0140644367096176,0.0707665717100046,175,0.14080688153356,0.180647945707604,0.249189682614497,16.098664912585,16.1449168250186,-10.0441992808263
178,0.0842169357573023,0.0129838037286093,0.0684637942918705,178,0.126109323513775,0.163193720654237,0.217643246162716,-59.5572502592411,-11.0078850299983,-14.587655638234
180,0.120298878729355,-0.00328302541898584,0.0950423918392416,180,0.138211922249756,0.175960347099911,0.231480592541407,16.4032056385496,16.4415922865824,-21.1658786170232
183,0.164111228632501,0.0361065254589545,0.130832772522825,183,0.142139283758098,0.185347797949698,0.249809231244098,-45.6493149933807,-31.4595470800219,-8.39927824521969
187,0.0856319645166868,0.0175313881843084,0.0762139471248796,187,0.138043509752251,0.172103228796741,0.217970071066525,5.32493600311626,52.4825925992912,1.93580092865961
188,0.0742895103520789,0.0155932604926409,0.0653732273059227,188,0.135224281196525,0.183462833196603,0.237903796557744,0.74314541144543,24.2956755875933,32.5754976701404
190,0.130802857747255,0.0267811826686368,0.100636312654872,190,0.153857021040186,0.191444336661186,0.251673269569698,-13.3646702212616,11.9664038875839,2.35243670698299
193,0.0919905527683784,0.000953398227524585,0.0716359902319451,193,0.125721818587304,0.157645288399704,0.197839451286595,-31.0605977086007,-1.52912018685046,33.9940220683731
195,0.099066315802412,0.0133546300745326,0.0834792178036281,195,0.134165562448847,0.163736554499281,0.209491243379844,16.327538901207,14.5629104091776,-1.25197444080387
207,0.0781527591651664,0.00360511034554029,0.0708187865287231,207,0.136459266873814,0.171475867492612,0.23121062078774,25.4007841887402,48.380028971606,-34.4616155631357
208,0.120800220549648,0.000740571708124456,0.0694940195696655,208,0.143417359370611,0.191858437742569,0.272810564090672,17.1590662309306,80.9867147056604,-0.942357673338926
209,NaN,NaN,NaN,209,NaN,NaN,NaN,NaN,NaN,NaN
210,0.100125426953796,0.0303341198409994,0.0784154399078724,210,0.134532934683433,0.166693755245677,0.212967443967559,-17.1408003720127,12.9758091348155,-1.97218715625026
213,0.0762640363711389,0.00490513888104862,0.0642838980253896,213,0.133717400108202,0.166931150476439,0.218966712079122,-23.0437855383248,21.872421896121,-16.5466838735264
214,0.0822642528628199,0.0266496213932805,0.068893996211207,214,0.120138497254945,0.152399201469377,0.206073719295149,17.0140656611801,56.7440910424309,-12.1650575140257
216,0.116037738065752,-0.00949437211293813,0.0913482936352663,216,0.154871965305785,0.198443605539879,0.25788347039821,14.0727046502434,54.7602387848195,-20.3871829923547
218,0.0814166612511313,0.0169062266600189,0.05924062415462,218,0.122428810794798,0.152340428670215,0.191252640743779,-7.52913318624099,26.6077335371423,40.6954985211209
222,0.116608752975408,-0.0111230015647266,0.0790113868623965,222,0.127806782484597,0.164965170355268,0.221449795434994,-67.5259494668569,33.8718700341772,-37.8660990874793
225,0.117189180818254,-0.00824743123951888,0.0933082301732524,225,0.143764089267432,0.187118890281475,0.246297425732632,5.34680466443606,63.9329795325017,-20.5813917765161
