subID,avg_roi_E_magn,avg_roi_E_normal,avg_roi_E_tangent,subID2,p95,p99,p99_9,pk_pos_x,pk_pos_y,pk_pos_z
MMD_021,0.460004995357259,-0.0839889770179393,0.247713407410805,MMD_021,0.343664336713757,0.686970085664512,1.10504418335128,-56.6114460395976,-37.5463849819834,-6.13485292696096
MMD_022,0.369310766193927,-0.0277643026972688,0.234832966251932,MMD_022,0.306812166524701,0.595888446891919,0.897188410614542,-62.0466438803175,-15.8806637358664,-7.1841273492358
MMD_023,0.46483332186415,-0.0418216038687298,0.332999126543673,MMD_023,0.326194841276705,0.611442476465466,0.846825780506763,-57.7542403807562,-30.3128674410749,12.8392584241247
MMD_024,0.407723313146503,-0.0030796228622564,0.231000962205354,MMD_024,0.294561017388912,0.601685429156058,0.93990653352168,-64.7848922120302,-39.2254441548939,29.8378955693917
MMD_025,0.381462401562898,-0.000528114322088691,0.258839288647165,MMD_025,0.341678090746403,0.657929969464716,0.986892000353427,-54.6790488917481,-32.0847942818942,0.115548617905479
MMD_026,0.450474672979125,-0.0430002693671266,0.304967453668216,MMD_026,0.361215085887811,0.685154401988957,0.976305804772862,-53.0363010436694,-32.7586237234965,-4.27171315928024
MMD_027,0.540136143357112,-0.0882938812981366,0.384682081495317,MMD_027,0.372894243128723,0.72833796677251,1.07496643326864,-46.458837350972,-47.8651567691484,-15.7255260037734
MMD_028,0.50029152848791,-0.0630418038558151,0.297756906563625,MMD_028,0.408885543792379,0.776457943511604,1.10800271595386,-51.7664611998126,-39.166304353805,-36.4066189842395
MMD_030,0.537403013076176,0.018334102601804,0.381478028719701,MMD_030,0.423670984087827,0.764450963822375,1.06515991334792,-57.6997155550938,-31.2079342484152,-4.01166666676944
MMD_031,0.529812373582346,0.0328631913179064,0.38545876717902,MMD_031,0.411209716950874,0.751036266790159,1.12401325846729,-58.6611494908704,-18.790119314866,8.17387270222819
MMD_032,0.495542144648291,-0.031487655256056,0.335167401151968,MMD_032,0.3496309219897,0.678543101856989,1.04999703401978,-58.99708562556,-47.1052360540553,-4.96524126845634
MMD_033,0.396269643486299,-0.0599254464338624,0.257871327181559,MMD_033,0.348172608552916,0.650890503177113,0.95518579692865,-61.7189602399228,-28.6701766231755,-2.58610622964157
MMD_034,0.46704404840601,-0.0387963158681113,0.306338316897073,MMD_034,0.389338856465635,0.762285861850611,1.10218145203303,-48.4156797892972,-47.9742244461759,-18.748700870042
MMD_035,0.511751494826097,0.0345133056274605,0.299438586048137,MMD_035,0.398137794841349,0.750043680681633,1.06508773767385,-50.8314271780874,-39.99816666632,-23.7788241339317
MMD_036,0.460198656082253,-0.047416527541348,0.290203788959826,MMD_036,0.393715305847868,0.698435868670441,1.00690029412229,-46.6428356901401,-33.2664345700336,-4.42236973493071
MMD_037,0.402100198109263,-0.00407083705971712,0.264311047971296,MMD_037,0.282425143188709,0.533585671602389,0.781385920039084,-47.7550593054665,-49.2529855739159,-5.47263384035918
MMD_038,0.384283000177656,-0.082648705611397,0.261667128902472,MMD_038,0.292423124920914,0.539152611408758,0.751269224947592,-43.0338176560516,-35.0738919482412,-59.8404891608446
MMD_039,0.50623112158629,0.0119572780333999,0.269438430091352,MMD_039,0.381603345831852,0.71644440315386,1.0329440856024,-53.1647486072233,-25.6936615478423,-3.0785111555651
MMD_041,0.472714293657481,0.0486392289280248,0.257272821934973,MMD_041,0.360973775980313,0.677429100237087,1.00102565690351,-55.4707897958106,-21.1923413689682,-10.7981046711578
MMD_043,0.47339354514289,0.0752886877513888,0.299692233859601,MMD_043,0.355030736793273,0.631983571103876,0.952811566247395,-55.1087014033464,-22.9368414056155,-1.94247780428812
MMD_044,0.311897960277057,0.0193966511843006,0.175447727545196,MMD_044,0.264142319323,0.51889316070635,0.799063270705223,-55.8523899660359,-32.9277573746828,-5.84920480810636
MMD_045,0.599543671103946,-0.130795205545032,0.403905778335258,MMD_045,0.351502825953164,0.716366685132851,1.0567492249115,-58.1521764409094,-34.590669113215,1.15122588374558
MMD_046,0.461415473421035,0.0364709228704026,0.30679713507978,MMD_046,0.369971706502032,0.726611240491046,1.13614367956655,-50.6024053604315,-41.7887579116223,15.7750902756444
MMD_048,0.461873045051469,0.0124427705036458,0.282584609324951,MMD_048,0.386115703272827,0.711592814155996,1.02299350173669,-50.3418276862609,-26.1299528657932,10.5714066219336
MMD_049,0.486171468657708,-0.0217925296945042,0.311298210467358,MMD_049,0.323993934533416,0.640043528228458,0.941708509529163,-59.2985740707264,-38.3213179459891,13.5551156552389
MMD_050,0.500754139648967,-0.0830146103882352,0.312174688294761,MMD_050,0.369858127736639,0.729578822882832,1.07507503560455,-57.6611358312384,-33.1151608752531,-18.2959349410256
MMD_052,0.444364789664317,-0.0430207323175855,0.235910052578544,MMD_052,0.369605444307257,0.694038845804803,1.04164713511864,-42.8076721745475,-58.2569465029545,21.5475516078271
MMD_053,0.510089321273627,0.0404592045665728,0.235785059627672,MMD_053,0.354598328450079,0.692009256450594,1.0192527293923,-52.9530784216545,-33.5488214722985,-11.2137972642676
MMD_054,0.533000395622055,-0.017344618452544,0.349597138883533,MMD_054,0.337116206437799,0.660213027773629,0.962009022203184,-54.9106400372529,-16.9706714953723,7.90610526168783
MMD_055,0.640253273395032,-0.105016796984783,0.364470095574295,MMD_055,0.385532749239461,0.731912191377995,1.15157432801688,-58.9470342062565,-32.5668604047827,-22.359451765056
MMD_056,0.31115587725823,-0.0332562620200701,0.193381128511369,MMD_056,0.292140543611402,0.560515805784031,0.864876139505456,-50.2724247355364,-36.6509401759284,28.7518642523593
